Selected_Species
Avocet
Bar-tailed Godwit
Barn Owl
Black Grouse
Black Guillemot
Black-headed Gull
Black-tailed Godwit
Black-throated Diver
Blackbird
Blackcap
Blue Tit
Bullfinch
Buzzard
Canada Goose
Carrion Crow
Chaffinch
Chiffchaff
Coal Tit
Collared Dove
Common Crossbill
Common Gull
Common Sandpiper
Common Tern
Coot
Cormorant
Cuckoo
Curlew
Dipper
Dunlin
Dunnock
Eider
Gadwall
Gannet
Garden Warbler
Goldcrest
Golden Eagle
Goldeneye
Goldfinch
Goosander
Goshawk
Grasshopper Warbler
Great Black-backed Gull
Great Crested Grebe
Great Spotted Woodpecker
Great Tit
Green Sandpiper
Green Woodpecker
Greenfinch
Greenshank
Grey Heron
Grey Wagtail
Greylag Goose
Guillemot
Hen Harrier
Herring Gull
Hooded Crow
House Martin
House Sparrow
Jackdaw
Jay
Kestrel
Kingfisher
Lapwing
Lesser Black-backed Gull
Linnet
Little Egret
Little Grebe
Little Ringed Plover
Long-eared Owl
Long-tailed Tit
Magpie
Mallard
Mandarin Duck
Marsh Harrier
Meadow Pipit
Mediterranean Gull
Mistle Thrush
Moorhen
Mute Swan
Nightjar
Nuthatch
Osprey
Oystercatcher
Peregrine
Pheasant
Pied Flycatcher
Pied/White Wagtail
Pink-footed Goose
Pochard
Quail
Raven
Red Grouse
Red Kite
Red-breasted Merganser
Red-legged Partridge
Red-throated Diver
Redpoll
Redshank
Redstart
Reed Bunting
Reed Warbler
Ring Ouzel
Ring-necked Parakeet
Ringed Plover
Robin
Rock Dove
Rock Pipit
Rook
Sand Martin
Sandwich Tern
Sedge Warbler
Shag
Shelduck
Short-eared Owl
Shoveler
Siskin
Skylark
Snipe
Snow Goose
Song Thrush
Sparrowhawk
Spotted Flycatcher
Starling
Stock Dove
Stonechat
Swallow
Swift
Tawny Owl
Teal
Tree Pipit
Tree Sparrow
Treecreeper
Tufted Duck
Water Rail
Western Sandpiper
Wheatear
Whimbrel
Whinchat
Whitethroat
Wigeon
Willow Warbler
Wood Warbler
Woodcock
Woodpigeon
Wren
Yellowhammer
